SEPARATE
# 节目介绍与社交话题引入
0.0-6.8: 今天咱们是一个聊天的节目
6.8-9.66: Check check one two check one two
9.66-12.84: 最近向上社交这个词突然频繁出现在我眼前
12.84-14.6: 正好我前两天做了一个采访
14.6-16.82: 采访对象是我们的一个观众会员
SEPARATE
# 采访分享与向上社交的探讨
12.84-14.6: 正好我前两天做了一个采访
14.6-16.82: 采访对象是我们的一个观众会员
16.82-20.6: 他前几年卖掉自己的亚马逊电商生意实现了财富自由
20.6-22.28: 在采访中我发现他有个特点
22.28-26.98: 那就是他每年都会去花重金飞到世界各地参加各种圈子聚会
26.98-30.08: 在我眼里这不就是所谓的向上社交吗
30.08-31.74: 于是我就问了他一个问题
31.74-34.1: 存不存在向上社交这个可能
34.1-36.08: 因为很多人在提这个向上社交
36.08-36.8: 不存在
SEPARATE
# 向上社交的可能性与个人成长
34.1-36.08: 因为很多人在提这个向上社交
36.08-36.8: 不存在
36.8-37.96: 我经常说一个话
37.96-40.04: 就是为什么大佬要帮你
40.04-41.54: 就是我有三个mental
41.54-44.18: 就他们是在就是说教我
44.18-45.92: 包括我在人生当中我有很多疑问
45.92-49.9: 我就问他们他们会来来帮我花他们的时间
49.9-50.76: 为什么
50.76-55.58: 其实是因为他们看到了原来年轻时候的自己
55.58-56.72: 他们在我身上
56.72-59.3: 他们在帮的是他们年轻时候的自己
59.3-60.62: 而不是我
60.62-63.96: 这句话突然让我有了很多的感触
63.96-65.96: 因为我一直觉得自己挺走运的
65.96-68.14: 在不同人生阶段总有贵人相助
68.14-71.12: 最近我也有幸成为了别人的mental
71.12-74.08: 让我有了所谓向上社交另一端的视角
74.08-75.1: 那在今天的视频里
SEPARATE
# 贵人相助的真正原因与向上社交的副作用
71.12-74.08: 让我有了所谓向上社交另一端的视角
74.08-75.1: 那在今天的视频里
75.1-77.58: 我就想通过我的经历来聊一聊
77.58-80.58: 贵人帮你把的真正的原因是什么
80.58-82.96: 如何理解他们是在帮年轻的自己
82.96-85.14: 我们如何才能遇到贵人
85.14-89.54: 以及为什么不仅不存在所谓的向上社交
89.54-92.54: 而且它可能还会带来你无法承受的后果
92.54-95.46: 电影《教父》开头的故事
SEPARATE
# 贵人相助的本质与错误的向上社交观念
89.54-92.54: 而且它可能还会带来你无法承受的后果
92.54-95.46: 电影《教父》开头的故事
95.46-98.38: 很好地展现了贵人相助的本质
98.38-101.16: 这天是教父维托克利亚女儿的婚礼
101.16-103.58: 一位绝望的父亲来向教父求助
103.58-105.94: 他的女儿遭受了暴力的侵害
105.94-108.76: 他之前并没有向教父寻求帮助
108.76-110.14: 而是试图依赖法律
110.14-114.44: 但他发现法律并不在保护他这种小人物的时候
114.44-115.12: 他才会向教父求助
115.14-117.86: 他才转向教父寻求法律之外的正义
117.86-119.96: 教父接受了他的请求
119.96-121.54: 但是说了一句话
121.54-125.96: 他说他现在并不需要回报
125.96-127.36: 但是在未来的某一天
